TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Date,Year,Month,Day,Day_Name,Total_Consumption
00:00,4256.1,1762.03,970.96,1311.58,149.46,21.53,2022-04-06,2022,4,6,Wednesday,4215.5599999999995
00:05,4190.06,1730.4,959.13,1290.7,146.01,21.36,2022-04-06,2022,4,6,Wednesday,4147.6
00:10,4181.79,1726.67,961.5,1286.69,146.07,21.34,2022-04-06,2022,4,6,Wednesday,4142.27
00:15,4176.84,1714.84,964.93,1289.69,146.49,21.2,2022-04-06,2022,4,6,Wednesday,4137.15
00:20,4127.07,1700.86,950.89,1268.66,145.86,21.21,2022-04-06,2022,4,6,Wednesday,4087.48
00:25,4123.07,1697.32,944.02,1278.81,142.74,21.01,2022-04-06,2022,4,6,Wednesday,4083.9000000000005
00:30,4078.39,1675.39,929.35,1270.14,144.1,20.9,2022-04-06,2022,4,6,Wednesday,4039.88
00:35,4067.91,1675.14,926.73,1262.73,143.79,20.91,2022-04-06,2022,4,6,Wednesday,4029.2999999999997
00:40,4052.56,1672.78,923.54,1252.94,143.96,20.79,2022-04-06,2022,4,6,Wednesday,4014.0099999999998
00:45,4036.03,1666.75,916.93,1251.42,141.8,20.8,2022-04-06,2022,4,6,Wednesday,3997.7000000000003
00:50,4001.53,1648.06,911.08,1242.64,141.01,20.6,2022-04-06,2022,4,6,Wednesday,3963.39
00:55,3980.13,1643.07,904.57,1233.34,141.2,20.5,2022-04-06,2022,4,6,Wednesday,3942.6799999999994
01:00,3955.75,1628.34,899.69,1230.06,139.49,20.49,2022-04-06,2022,4,6,Wednesday,3918.0699999999997
01:05,3930.17,1616.02,897.07,1220.73,138.79,20.37,2022-04-06,2022,4,6,Wednesday,3892.98
01:10,3901.08,1604.26,890.9,1209.39,139.21,20.37,2022-04-06,2022,4,6,Wednesday,3864.13
01:15,3884.62,1597.23,886.57,1206.38,137.75,20.3,2022-04-06,2022,4,6,Wednesday,3848.2300000000005
01:20,3874.94,1597.59,882.32,1200.18,138.16,20.33,2022-04-06,2022,4,6,Wednesday,3838.58
01:25,3864.05,1590.06,879.21,1200.32,137.48,20.3,2022-04-06,2022,4,6,Wednesday,3827.3700000000003
01:30,3850.29,1584.01,877.12,1195.16,136.69,20.48,2022-04-06,2022,4,6,Wednesday,3813.46
01:35,3829.78,1574.63,873.55,1187.02,136.69,20.43,2022-04-06,2022,4,6,Wednesday,3792.32
01:40,3807.52,1568.49,866.08,1179.66,136.26,20.25,2022-04-06,2022,4,6,Wednesday,3770.7400000000007
01:45,3786.35,1555.65,862.59,1176.57,135.16,20.22,2022-04-06,2022,4,6,Wednesday,3750.19
01:50,3774.87,1552.29,859.01,1171.9,135.38,20.22,2022-04-06,2022,4,6,Wednesday,3738.8
01:55,3769.42,1551.12,856.67,1170.0,135.83,20.31,2022-04-06,2022,4,6,Wednesday,3733.93
02:00,3755.52,1541.35,855.11,1168.23,134.92,20.22,2022-04-06,2022,4,6,Wednesday,3719.83
02:05,3737.52,1538.73,847.41,1159.93,135.79,20.18,2022-04-06,2022,4,6,Wednesday,3702.0399999999995
02:10,3724.71,1530.77,846.59,1156.57,135.26,20.17,2022-04-06,2022,4,6,Wednesday,3689.3600000000006
02:15,3716.04,1527.47,843.32,1155.73,133.89,20.03,2022-04-06,2022,4,6,Wednesday,3680.44
02:20,3700.62,1521.53,841.53,1147.69,134.7,20.06,2022-04-06,2022,4,6,Wednesday,3665.5099999999998
02:25,3680.0,1507.61,836.59,1145.38,133.4,20.0,2022-04-06,2022,4,6,Wednesday,3642.98
02:30,3668.11,1504.53,834.08,1140.44,133.54,20.02,2022-04-06,2022,4,6,Wednesday,3632.61
02:35,3662.04,1502.07,830.18,1142.73,132.14,19.99,2022-04-06,2022,4,6,Wednesday,3627.1099999999997
02:40,3638.42,1489.84,827.44,1132.88,133.64,19.86,2022-04-06,2022,4,6,Wednesday,3603.66
02:45,3629.55,1486.34,825.4,1131.11,132.39,19.86,2022-04-06,2022,4,6,Wednesday,3595.0999999999995
02:50,3616.6,1477.8,821.99,1131.81,130.94,19.7,2022-04-06,2022,4,6,Wednesday,3582.24
02:55,3592.45,1474.1,815.75,1117.85,130.51,19.66,2022-04-06,2022,4,6,Wednesday,3557.87
03:00,3570.23,1464.17,810.36,1111.42,130.34,19.65,2022-04-06,2022,4,6,Wednesday,3535.9400000000005
03:05,3550.3,1460.87,805.09,1100.82,130.37,19.44,2022-04-06,2022,4,6,Wednesday,3516.5899999999997
03:10,3542.09,1454.44,802.76,1099.94,133.16,19.52,2022-04-06,2022,4,6,Wednesday,3509.8199999999997
03:15,3532.79,1454.66,796.49,1098.69,129.82,19.48,2022-04-06,2022,4,6,Wednesday,3499.1400000000003
03:20,3510.55,1444.01,791.92,1092.02,129.19,19.35,2022-04-06,2022,4,6,Wednesday,3476.49
03:25,3499.96,1437.46,789.44,1090.15,130.1,19.55,2022-04-06,2022,4,6,Wednesday,3466.7000000000003
03:30,3492.93,1438.86,788.8,1083.89,128.98,19.4,2022-04-06,2022,4,6,Wednesday,3459.9300000000003
03:35,3475.08,1427.54,783.86,1082.34,129.38,19.34,2022-04-06,2022,4,6,Wednesday,3442.46
03:40,3464.92,1424.16,781.81,1077.39,129.34,19.32,2022-04-06,2022,4,6,Wednesday,3432.020000000001
03:45,3463.6,1417.55,783.02,1080.63,130.21,19.34,2022-04-06,2022,4,6,Wednesday,3430.75
03:50,3441.16,1414.69,777.78,1073.69,122.97,19.41,2022-04-06,2022,4,6,Wednesday,3408.54
03:55,3449.49,1425.29,777.26,1076.63,127.95,19.4,2022-04-06,2022,4,6,Wednesday,3426.53
04:00,3430.52,1409.38,774.47,1062.57,131.82,19.5,2022-04-06,2022,4,6,Wednesday,3397.7400000000002
04:05,3417.01,1401.09,772.03,1067.2,124.78,19.43,2022-04-06,2022,4,6,Wednesday,3384.5299999999997
04:10,3406.57,1403.68,766.16,1059.29,125.62,19.42,2022-04-06,2022,4,6,Wednesday,3374.17
04:15,3408.58,1393.3,768.24,1067.28,127.35,19.49,2022-04-06,2022,4,6,Wednesday,3375.6599999999994
04:20,3400.57,1400.88,762.55,1061.9,123.45,19.49,2022-04-06,2022,4,6,Wednesday,3368.27
04:25,3393.44,1396.71,760.73,1057.3,126.93,19.61,2022-04-06,2022,4,6,Wednesday,3361.2799999999997
04:30,3389.32,1396.61,757.57,1057.38,125.86,19.73,2022-04-06,2022,4,6,Wednesday,3357.15
04:35,3393.73,1403.3,759.07,1056.38,122.56,19.91,2022-04-06,2022,4,6,Wednesday,3361.22
04:40,3401.99,1399.53,757.54,1066.73,125.05,20.03,2022-04-06,2022,4,6,Wednesday,3368.88
04:45,3386.66,1392.89,757.64,1059.41,124.82,19.93,2022-04-06,2022,4,6,Wednesday,3354.6900000000005
04:50,3395.36,1404.03,758.01,1056.17,125.54,20.04,2022-04-06,2022,4,6,Wednesday,3363.79
04:55,3401.04,1409.83,756.24,1058.28,124.72,19.98,2022-04-06,2022,4,6,Wednesday,3369.0499999999993
05:00,3396.91,1406.23,754.96,1066.48,125.28,20.18,2022-04-06,2022,4,6,Wednesday,3373.13
05:05,3411.69,1408.67,759.84,1064.27,126.81,20.64,2022-04-06,2022,4,6,Wednesday,3380.23
05:10,3407.73,1413.37,758.93,1054.46,127.61,20.98,2022-04-06,2022,4,6,Wednesday,3375.35
05:15,3407.47,1411.4,759.05,1058.52,125.55,21.43,2022-04-06,2022,4,6,Wednesday,3375.95
05:20,3418.57,1423.25,764.14,1059.27,126.28,21.66,2022-04-06,2022,4,6,Wednesday,3394.6
05:25,3420.34,1418.2,762.89,1057.49,127.78,21.77,2022-04-06,2022,4,6,Wednesday,3388.13
05:30,3434.07,1417.53,761.21,1071.93,128.64,22.02,2022-04-06,2022,4,6,Wednesday,3401.33
05:35,3458.38,1417.98,764.57,1068.69,129.21,22.36,2022-04-06,2022,4,6,Wednesday,3402.8100000000004
05:40,3456.39,1425.09,760.85,1085.64,127.72,22.74,2022-04-06,2022,4,6,Wednesday,3422.0399999999995
05:45,3448.41,1419.65,758.48,1087.96,127.66,23.06,2022-04-06,2022,4,6,Wednesday,3416.81
05:50,3473.28,1408.08,760.07,1094.01,130.51,23.55,2022-04-06,2022,4,6,Wednesday,3416.2200000000003
