Date,Total_Consumption
2022-01-01,831713.51
2022-01-02,72800.26
2022-01-03,850680.94
2022-01-04,676553.11
2022-01-06,582192.59
2022-01-07,871570.59
2022-01-08,690356.64
2022-01-09,714793.86
2022-01-10,795720.57
2022-01-12,883575.72
2022-01-13,793262.45
2022-01-14,940840.51
2022-01-15,809922.16
2022-01-16,785680.5599999999
2022-01-17,926198.36
2022-01-18,938613.12
2022-01-19,942409.99
2022-01-20,918372.58
2022-01-21,935664.55
2022-01-22,796819.77
2022-01-23,790278.26
2022-01-24,925045.95
2022-01-25,805717.97
2022-01-27,902756.23
2022-01-28,929124.93
2022-01-29,844861.24
2022-01-30,809569.24
2022-01-31,867522.49
2022-02-01,871512.45
2022-02-02,872289.41
2022-02-03,903427.44
2022-02-04,917917.2
2022-02-05,862184.89
2022-02-06,800179.33
2022-02-07,820929.13
2022-02-08,603310.16
2022-02-09,540724.9
2022-02-10,807394.97
2022-02-11,817171.68
2022-02-12,40407.200000000004
2022-02-14,772434.82
2022-02-15,749098.12
2022-02-16,778602.4
2022-02-17,767082.5
2022-02-18,780836.06
2022-02-19,728069.65
2022-02-20,711913.97
2022-02-21,530821.93
2022-02-22,752003.31
2022-02-23,770359.97
2022-02-24,762390.05
2022-02-25,775902.49
2022-02-26,725283.88
2022-02-27,704002.38
2022-02-28,746641.55
2022-03-01,742410.89
2022-03-02,749421.8
2022-03-03,767284.65
2022-03-04,771471.41
2022-03-05,724037.36
2022-03-06,703287.68
2022-03-07,748575.48
2022-03-08,779292.62
2022-03-09,773984.02
2022-03-10,777616.11
2022-03-11,793077.17
2022-03-12,747805.9400000001
2022-03-13,737808.19
2022-03-14,817986.31
2022-03-15,865269.28
2022-03-16,892339.58
2022-03-17,878619.13
2022-03-18,723817.9
2022-03-19,825063.3
2022-03-20,874369.57
2022-03-21,989033.64
2022-03-22,984984.37
2022-03-23,987259.01
2022-03-24,989775.87
2022-03-25,1006234.61
2022-03-26,945414.77
2022-03-27,915833.25
2022-03-28,1006723.49
2022-03-29,1056320.68
2022-03-30,696616.43
2022-03-31,1126397.29
2022-04-01,1105612.48
2022-04-02,1059566.67
2022-04-03,982280.14
2022-04-04,1113277.0
2022-04-05,1128646.62
2022-04-06,1155112.0
2022-04-07,1173802.78
2022-04-08,1214867.2
2022-04-09,1189296.77
2022-04-10,1164665.71
2022-04-11,1288215.38
2022-04-12,1293709.01
2022-04-13,1288932.71
2022-04-14,1242184.76
2022-04-15,1237209.08
2022-04-16,1217752.33
2022-04-17,1200519.36
2022-04-18,1336365.6
2022-04-19,1369725.33
2022-04-20,827442.83
2022-04-21,1322654.28
2022-04-22,1276466.53
2022-04-23,1238509.31
2022-04-24,1204615.71
2022-04-25,1307857.16
2022-04-26,949984.22
2022-04-27,1256838.79
2022-04-28,1430287.3699999999
2022-04-29,1459946.32
2022-04-30,1432332.31
2022-05-01,1396602.08
2022-05-02,1052680.33
2022-05-04,1401171.53
2022-05-05,1265171.79
2022-05-06,1338472.32
2022-05-07,1304962.35
2022-05-08,1299891.51
2022-05-09,1456006.74
2022-05-10,1497652.1300000001
2022-05-11,1543303.19
2022-05-12,1623634.02
2022-05-13,1610308.66
2022-05-14,1542391.75
2022-05-15,1478831.44
2022-05-16,1561218.23
2022-05-17,1583191.68
2022-05-18,1600443.94
2022-05-19,1636510.6
2022-05-20,1660326.44
2022-05-21,1530653.49
2022-05-22,621707.4
2022-05-23,1153125.5
2022-05-24,1083476.23
2022-05-25,498772.38
2022-05-26,684676.89
2022-05-27,1348273.95
2022-05-28,1395637.08
2022-05-29,1395599.93
2022-05-30,1423225.65
2022-05-31,1429578.52
2022-06-01,1469378.05
2022-06-02,1524405.98
2022-06-03,1538925.43
2022-06-04,1442693.53
2022-06-05,1479845.88
2022-06-06,1597199.25
2022-06-07,1637797.32
2022-06-08,1648156.9
2022-06-09,1688045.44
2022-06-10,1633632.82
2022-06-11,1642105.46
2022-06-12,1603605.49
2022-06-13,1743820.15
2022-06-14,1704599.01
2022-06-15,1726712.69
2022-06-16,1648975.5
2022-06-17,1477917.19
2022-06-18,1274929.04
2022-06-19,1164995.46
2022-06-20,1244984.33
2022-06-21,1275855.42
2022-06-22,1336669.14
2022-06-23,1374510.8
2022-06-24,1364685.54
2022-06-25,1381755.59
2022-06-26,1514096.84
2022-06-27,1723651.85
2022-06-28,1830274.24
2022-06-29,1799623.88
2022-06-30,1449065.35
2022-07-01,1321173.39
2022-07-02,1339189.4
2022-07-03,1315101.98
2022-07-04,1531956.48
2022-07-05,1668935.33
2022-07-06,1726462.7
2022-07-07,1759386.31
2022-07-08,1743292.18
2022-07-09,1608072.02
2022-07-10,1423786.65
2022-07-11,1539633.04
2022-07-12,1406396.21
2022-07-13,1513148.12
2022-07-14,1109415.05
2022-07-15,1510482.47
2022-07-16,1443999.66
2022-07-17,1347692.37
2022-07-18,1592805.09
2022-07-19,1647611.81
2022-07-20,1443684.58
2022-07-21,869102.02
2022-07-22,692282.4299999999
2022-07-24,1343129.56
2022-07-25,1392509.55
2022-07-26,1318489.0
2022-07-27,1382182.26
2022-07-28,1380762.35
2022-07-29,1301030.8
2022-07-30,1268592.39
2022-07-31,813745.91
2022-08-01,1275358.86
2022-08-02,1330824.76
2022-08-03,1489196.96
2022-08-04,1442771.17
2022-08-05,942687.85
2022-08-06,1232305.89
2022-08-07,1114646.58
2022-08-08,889777.42
2022-08-09,1428230.51
2022-08-10,1409433.09
2022-08-11,1236015.61
2022-08-12,1394047.93
2022-08-13,1374513.61
2022-08-14,1328737.15
2022-08-15,1084693.43
2022-08-16,1282105.26
2022-08-17,888581.99
2022-08-18,1402438.39
2022-08-19,1181155.96
2022-08-20,1301803.47
2022-08-21,1241313.15
2022-08-22,1492398.16
2022-08-23,1411392.1199999999
2022-08-24,1002875.96
2022-08-25,951450.87
2022-08-26,1002804.95
2022-08-27,1309434.84
2022-08-28,1240002.46
2022-08-29,975610.05
2022-08-30,1200581.07
2022-08-31,1272383.07
2022-09-01,1356859.19
2022-09-02,1476913.84
2022-09-03,1454424.72
2022-09-04,1250965.11
2022-09-05,1112881.59
2022-09-06,1567110.24
2022-09-07,1584178.93
2022-09-08,1614615.45
2022-09-09,1634141.76
2022-09-10,1572629.31
2022-09-11,1478558.92
2022-09-12,1556033.32
2022-09-13,1494355.55
2022-09-14,1434175.77
2022-09-15,1299759.59
2022-09-16,1159100.96
2022-09-17,1157646.63
2022-09-18,947699.7
2022-09-19,1314084.65
2022-09-20,1312269.11
2022-09-21,1256785.2
2022-09-22,1148173.63
2022-09-23,1086935.34
2022-09-24,1003669.5
2022-09-25,982206.66
2022-09-26,1126071.55
2022-09-27,1168801.55
2022-09-28,1212754.62
2022-09-29,1227930.74
2022-09-30,1258703.76
2022-10-01,1221511.92
2022-10-02,1083334.81
2022-10-03,1200504.21
2022-10-04,1245030.86
