Hour,Total_Consumption
0,3936.1651681503463
1,3701.6211275964392
2,3517.9239657738094
3,3366.053140659886
4,3283.9303880597017
5,3301.474714677299
6,3470.420998003992
7,3650.698939620758
8,3775.945633732535
9,4055.170369261477
10,4353.050718562875
11,4449.023942885771
12,4448.711246845028
13,4294.421234848485
14,4445.121921419519
15,4499.552677386422
16,4419.21478825669
17,4341.977432795699
18,4257.24847361299
19,4196.15296781233
20,4115.012471692902
21,4080.7895428893908
22,4126.027488908607
23,3995.273342887854
